city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Adelaide,Adelaide,-34.9289,138.6011,Australia,AU,AUS,South Australia,admin,1345777,1036538171
Adelaide River,Adelaide River,-13.2381,131.1061,Australia,AU,AUS,Northern Territory,,353,1036136750
Albany,Albany,-35.0228,117.8814,Australia,AU,AUS,Western Australia,,34205,1036047365
Albury,Albury,-36.0806,146.9158,Australia,AU,AUS,New South Wales,,47974,1036076542
Alice Springs,Alice Springs,-23.7,133.8667,Australia,AU,AUS,Northern Territory,,23726,1036830397
Alstonville,Alstonville,-28.8317,153.4344,Australia,AU,AUS,New South Wales,,5739,1036379241
Andamooka,Andamooka,-30.447,137.166,Australia,AU,AUS,South Australia,,316,1036260794
Andergrove,Andergrove,-21.0931,149.186,Australia,AU,AUS,Queensland,,9419,1036907443
Ararat,Ararat,-37.2833,142.9167,Australia,AU,AUS,Victoria,,8300,1036674088
Armidale,Armidale,-30.5,151.65,Australia,AU,AUS,New South Wales,,24504,1036975829
Atherton,Atherton,-17.2658,145.478,Australia,AU,AUS,Queensland,,7331,1036456869
Australind,Australind,-33.2792,115.715,Australia,AU,AUS,Western Australia,,14539,1036182351
Ayr,Ayr,-19.5744,147.4066,Australia,AU,AUS,Queensland,,8738,1036228772
Bacchus Marsh,Bacchus Marsh,-37.675,144.4389,Australia,AU,AUS,Victoria,,22223,1036524751
Bairnsdale,Bairnsdale,-37.8333,147.6167,Australia,AU,AUS,Victoria,,7580,1036432237
Ballarat,Ballarat,-37.55,143.85,Australia,AU,AUS,Victoria,,105471,1036567186
Ballina,Ballina,-28.8333,153.5333,Australia,AU,AUS,New South Wales,,26381,1036040102
Bannockburn,Bannockburn,-38.05,144.1667,Australia,AU,AUS,Victoria,,5283,1036085175
Banora Point,Banora Point,-28.2225,153.5386,Australia,AU,AUS,New South Wales,,16167,1036608972
Barcaldine,Barcaldine,-23.5555,145.2888,Australia,AU,AUS,Queensland,,1422,1036284609
Bargara,Bargara,-24.8205,152.4625,Australia,AU,AUS,Queensland,,7485,1036308552
Barwon Heads,Barwon Heads,-38.25,144.5167,Australia,AU,AUS,Victoria,,14165,1036797778
Batemans Bay,Batemans Bay,-35.7081,150.1744,Australia,AU,AUS,New South Wales,,11294,1036272805
Bathurst,Bathurst,-33.42,149.5778,Australia,AU,AUS,New South Wales,,36801,1036446465
Beaudesert,Beaudesert,-27.988,152.9958,Australia,AU,AUS,Queensland,,6395,1036443236
Bedourie,Bedourie,-24.35,139.4667,Australia,AU,AUS,Queensland,,122,1036680924
Beerwah,Beerwah,-26.8556,152.96,Australia,AU,AUS,Queensland,,6769,1036411138
Benalla,Benalla,-36.5519,145.9817,Australia,AU,AUS,Victoria,,9298,1036934047
Bendigo,Bendigo,-36.75,144.2667,Australia,AU,AUS,Victoria,,99122,1036537913
Bentley,Bentley,-32.001,115.924,Australia,AU,AUS,Western Australia,,8782,1036133213
Berri,Berri,-34.2833,140.6,Australia,AU,AUS,South Australia,,4103,1036554717
Bicheno,Bicheno,-41.8667,148.2833,Australia,AU,AUS,Tasmania,,943,1036189642
Biloela,Biloela,-24.4002,150.5133,Australia,AU,AUS,Queensland,,5758,1036014905
Birdsville,Birdsville,-25.8989,139.352,Australia,AU,AUS,Queensland,,140,1036830335
Blaxland,Blaxland,-33.7453,150.6175,Australia,AU,AUS,New South Wales,,7451,1036026558
Bli Bli,Bli Bli,-26.618,153.037,Australia,AU,AUS,Queensland,,7801,1036863296
Bomaderry,Bomaderry,-34.848,150.605,Australia,AU,AUS,New South Wales,,6661,1036102200
Bongaree,Bongaree,-27.0814,153.1633,Australia,AU,AUS,Queensland,,6947,1036269345
Bordertown,Bordertown,-36.3118,140.7702,Australia,AU,AUS,South Australia,,2953,1036115980
Boulia,Boulia,-22.9,139.9,Australia,AU,AUS,Queensland,,301,1036512474
Bourke,Bourke,-30.0817,145.9511,Australia,AU,AUS,New South Wales,,1909,1036074667
Bowen,Bowen,-20.0167,148.2333,Australia,AU,AUS,Queensland,,10377,1036979225
Bowral,Bowral,-34.4792,150.4181,Australia,AU,AUS,New South Wales,,12949,1036253752
Brisbane,Brisbane,-27.4678,153.0281,Australia,AU,AUS,Queensland,admin,2514184,1036192929
Broken Hill,Broken Hill,-31.9567,141.4678,Australia,AU,AUS,New South Wales,,17734,1036216956
Broome,Broome,-17.9619,122.2361,Australia,AU,AUS,Western Australia,,14445,1036047905
Bullsbrook,Bullsbrook,-31.663,116.03,Australia,AU,AUS,Western Australia,,5448,1036370763
Bunbury,Bunbury,-33.3333,115.6333,Australia,AU,AUS,Western Australia,,74363,1036561011
Bundaberg,Bundaberg,-24.85,152.35,Australia,AU,AUS,Queensland,,70921,1036377333
Burketown,Burketown,-17.7167,139.5667,Australia,AU,AUS,Queensland,,238,1036956849
Burnie,Burnie,-41.0636,145.8753,Australia,AU,AUS,Tasmania,,19385,1036394657
Burpengary,Burpengary,-27.1442,153,Australia,AU,AUS,Queensland,,6433,1036894671
Busselton,Busselton,-33.6478,115.3458,Australia,AU,AUS,Western Australia,,25329,1036911902
Byron Bay,Byron Bay,-28.6483,153.6178,Australia,AU,AUS,New South Wales,,5521,1036606974
Caboolture,Caboolture,-27.0667,152.967,Australia,AU,AUS,Queensland,,26433,1036273434
Cairns,Cairns,-16.9303,145.7703,Australia,AU,AUS,Queensland,,152729,1036016939
Caloundra,Caloundra,-26.7986,153.1289,Australia,AU,AUS,Queensland,,41293,1036266942
Camooweal,Camooweal,-19.9167,138.117,Australia,AU,AUS,Queensland,,208,1036815011
